Vivado Simulator 2019.1
Time resolution is 1 ps
Time=10000, oQ=000, oDisplay=1000000
Time=30000, oQ=000, oDisplay=1000000
Time=50000, oQ=001, oDisplay=1111001
Time=70000, oQ=010, oDisplay=0100100
Time=90000, oQ=011, oDisplay=0110000
Time=110000, oQ=100, oDisplay=0011001
Time=130000, oQ=101, oDisplay=0010010
Time=150000, oQ=110, oDisplay=0000010
Time=170000, oQ=111, oDisplay=1111000
Time=190000, oQ=000, oDisplay=1000000
Time=210000, oQ=001, oDisplay=1111001
Time=230000, oQ=010, oDisplay=0100100
Time=250000, oQ=011, oDisplay=0110000
Time=270000, oQ=100, oDisplay=0011001
Time=290000, oQ=101, oDisplay=0010010
Time=310000, oQ=110, oDisplay=0000010
Time=330000, oQ=111, oDisplay=1111000
Time=350000, oQ=000, oDisplay=1000000
Time=370000, oQ=001, oDisplay=1111001
Time=390000, oQ=010, oDisplay=0100100
Time=410000, oQ=011, oDisplay=0110000
Time=430000, oQ=100, oDisplay=0011001
Time=450000, oQ=101, oDisplay=0010010
Time=470000, oQ=110, oDisplay=0000010
Time=490000, oQ=111, oDisplay=1111000
Time=510000, oQ=000, oDisplay=1000000
Time=530000, oQ=001, oDisplay=1111001
Time=550000, oQ=010, oDisplay=0100100
Time=570000, oQ=011, oDisplay=0110000
Time=590000, oQ=100, oDisplay=0011001
Time=610000, oQ=101, oDisplay=0010010
Time=630000, oQ=110, oDisplay=0000010
Time=650000, oQ=111, oDisplay=1111000
Time=670000, oQ=000, oDisplay=1000000
Time=690000, oQ=001, oDisplay=1111001
Time=710000, oQ=010, oDisplay=0100100
Time=730000, oQ=011, oDisplay=0110000
Time=750000, oQ=100, oDisplay=0011001
Time=770000, oQ=101, oDisplay=0010010
Time=790000, oQ=110, oDisplay=0000010
Time=810000, oQ=111, oDisplay=1111000
Time=830000, oQ=000, oDisplay=1000000
Time=850000, oQ=001, oDisplay=1111001
Time=870000, oQ=010, oDisplay=0100100
Time=890000, oQ=011, oDisplay=0110000
Time=910000, oQ=100, oDisplay=0011001
Time=930000, oQ=101, oDisplay=0010010
Time=950000, oQ=110, oDisplay=0000010
Time=970000, oQ=111, oDisplay=1111000
Time=990000, oQ=000, oDisplay=1000000
